speaker,word,n,total,tf,idf,tf_idf
Asa Hutchinson (AR-R),ar,31,7196,0.009106933019976499,3.2188758248682006,0.029314086536696305
Asa Hutchinson (AR-R),hutchinson,23,7196,0.006756756756756757,3.912023005428146,0.026432587874514503
Asa Hutchinson (AR-R),radio,12,7196,0.0035252643948296123,1.2039728043259361,0.004244322459433383
Asa Hutchinson (AR-R),arkansans,11,7196,0.0032314923619271444,3.912023005428146,0.012641672461724325
Asa Hutchinson (AR-R),adhpio,8,7196,0.0023501762632197414,3.912023005428146,0.009193943608526782
Asa Hutchinson (AR-R),week’s,8,7196,0.0023501762632197414,1.5141277326297755,0.0035584670567092255
Asa Hutchinson (AR-R),rock,7,7196,0.002056404230317274,1.8325814637483102,0.003768528274453047
Asa Hutchinson (AR-R),uamshealth,4,7196,0.0011750881316098707,3.912023005428146,0.004596971804263391
Asa Hutchinson (AR-R),ar's,3,7196,8.813160987074031e-4,3.912023005428146,0.0034477288531975436
Bill Lee (TN-R),tennessee,74,6366,0.022043491212392016,1.9661128563728327,0.0433399914720255
Bill Lee (TN-R),tennesseans,39,6366,0.01161751563896336,3.912023005428146,0.04544798844554593
Bill Lee (TN-R),tnsots,22,6366,0.0065534703604408695,3.912023005428146,0.025637326815436165
Bill Lee (TN-R),tn,13,6366,0.0038725052129877867,2.8134107167600364,0.010894947666928946
Bill Lee (TN-R),tnpromise,13,6366,0.0038725052129877867,3.912023005428146,0.015149329481848644
Bill Lee (TN-R),tndeptofhealth,12,6366,0.0035746201966041107,3.912023005428146,0.013983996444783363
Bill Lee (TN-R),maria,11,6366,0.0032767351802204347,2.8134107167600364,0.0092188018720168
Bill Lee (TN-R),bulletin,7,6366,0.002085195114685731,2.8134107167600364,0.005866510282192509
Bill Lee (TN-R),tennessean,6,6366,0.0017873100983020554,3.912023005428146,0.006991998222391682
Bill Lee (TN-R),tennessee’s,5,6366,0.0014894250819183796,3.912023005428146,0.005826665185326402
Brad Little (ID-R),idaho,133,7418,0.03570469798657718,3.912023005428146,0.13967759992535395
Brad Little (ID-R),governorlittle,46,7418,0.012348993288590604,2.8134107167600364,0.034742790059318567
Brad Little (ID-R),idleg,41,7418,0.011006711409395973,3.912023005428146,0.043058508247665495
Brad Little (ID-R),idpol,34,7418,0.00912751677852349,3.912023005428146,0.03570705562001529
Brad Little (ID-R),idaho’s,17,7418,0.004563758389261745,3.912023005428146,0.017853527810007645
Brad Little (ID-R),idedu,17,7418,0.004563758389261745,3.912023005428146,0.017853527810007645
Brad Little (ID-R),idahoans,15,7418,0.004026845637583893,3.912023005428146,0.01575311277353616
Brad Little (ID-R),idaho's,11,7418,0.002953020134228188,3.912023005428146,0.011552282700593183
Brad Little (ID-R),brad,8,7418,0.002147651006711409,2.5257286443082556,0.005424383665628468
Brad Little (ID-R),jeppesen,7,7418,0.0018791946308724832,3.912023005428146,0.0073514526276502075
Brian Kemp (GA-R),gapol,255,12008,0.04332313965341488,3.912023005428146,0.16948111899153537
Brian Kemp (GA-R),georgia,108,12008,0.01834862385321101,2.8134107167600364,0.051622214986422686
Brian Kemp (GA-R),georgians,54,12008,0.009174311926605505,3.912023005428146,0.03589011931585455
Brian Kemp (GA-R),govkemp,49,12008,0.008324838600067958,2.8134107167600364,0.023421190132728812
Brian Kemp (GA-R),gadph,36,12008,0.0061162079510703364,3.912023005428146,0.0239267462105697
Brian Kemp (GA-R),gt,33,12008,0.0056065239551478085,0.9162907318741551,0.005137205938132368
Brian Kemp (GA-R),gafirstlady,21,12008,0.003567787971457696,3.912023005428146,0.013957268622832324
Brian Kemp (GA-R),georgia’s,21,12008,0.003567787971457696,3.912023005428146,0.013957268622832324
Brian Kemp (GA-R),georgiaema,12,12008,0.0020387359836901123,3.912023005428146,0.007975582070189901
Brian Kemp (GA-R),kemp,9,12008,0.0015290519877675841,3.2188758248682006,0.004921828478391744
Charlie Baker (MA-R),commonwealth,46,10564,0.00803633822501747,2.302585092994046,0.018504352599183458
Charlie Baker (MA-R),massltgov,45,10564,0.007861635220125786,3.912023005428146,0.030754897841416242
Charlie Baker (MA-R),massachusetts,38,10564,0.006638714185883997,2.120263536200091,0.014075823615584111
Charlie Baker (MA-R),masshhs,32,10564,0.005590496156533892,3.912023005428146,0.021870149576118214
Charlie Baker (MA-R),masotc,26,10564,0.004542278127183787,3.912023005428146,0.01776949653059605
Charlie Baker (MA-R),massdph,19,10564,0.0033193570929419985,3.912023005428146,0.012985401310820191
Charlie Baker (MA-R),mbta,19,10564,0.0033193570929419985,3.912023005428146,0.012985401310820191
Charlie Baker (MA-R),careertech,13,10564,0.0022711390635918936,3.912023005428146,0.008884748265298024
Charlie Baker (MA-R),masseea,13,10564,0.0022711390635918936,3.912023005428146,0.008884748265298024
Charlie Baker (MA-R),sudders,12,10564,0.0020964360587002098,3.912023005428146,0.008201306091044332
Chris Sununu (NH-R),nh,138,19657,0.014965838846112136,3.2188758248682006,0.04817317686062376
Chris Sununu (NH-R),hampshire,125,19657,0.01355601344756534,3.2188758248682006,0.0436351239679563
Chris Sununu (NH-R),govchrissununu,98,19657,0.010627914542891227,3.912023005428146,0.04157664619151484
Chris Sununu (NH-R),granite,69,19657,0.007482919423056068,3.912023005428146,0.029273352930760447
Chris Sununu (NH-R),staters,44,19657,0.004771716733542999,3.912023005428146,0.01866706563700666
Chris Sununu (NH-R),nhpolitics,29,19657,0.003144995119835159,3.912023005428146,0.01230329326075439
Chris Sununu (NH-R),sununu,27,19657,0.0029280989046741135,3.912023005428146,0.011454790277254087
Chris Sununu (NH-R),wmur,23,19657,0.0024943064743520225,3.912023005428146,0.009757784310253481
Chris Sununu (NH-R),hampshire’s,16,19657,0.0017351697212883636,3.912023005428146,0.006788023868002422
Chris Sununu (NH-R),hampshire's,10,19657,0.001084481075805227,3.912023005428146,0.004242514917501513
David Ige (HI-D),hawaii,84,13964,0.011305518169582772,3.2188758248682006,0.036391059123678175
David Ige (HI-D),govhawaii,42,13964,0.005652759084791386,2.8134107167600364,0.01590353298841474
David Ige (HI-D),rt,30,13964,0.004037685060565276,2.5257286443082556,0.010198096814165232
David Ige (HI-D),sustainablehawaii,24,13964,0.003230148048452221,3.912023005428146,0.012636413476483917
David Ige (HI-D),hawaiʻi,22,13964,0.0029609690444145358,3.912023005428146,0.011583379020110258
David Ige (HI-D),higov_health,19,13964,0.0025572005383580083,3.912023005428146,0.010003827335549768
David Ige (HI-D),ige,19,13964,0.0025572005383580083,2.8134107167600364,0.007194455399520955
David Ige (HI-D),higov,16,13964,0.0021534320323014803,3.912023005428146,0.008424275650989277
David Ige (HI-D),mahalo,15,13964,0.002018842530282638,3.912023005428146,0.007897758422802449
David Ige (HI-D),dlnr,14,13964,0.0018842530282637954,3.912023005428146,0.0073712411946156185
Doug Burgum (ND-R),north,51,5932,0.017177500842034354,0.5447271754416719,0.009357051514828315
Doug Burgum (ND-R),dakota,31,5932,0.010441226002020883,2.8134107167600364,0.029375457130199102
Doug Burgum (ND-R),nddoh,24,5932,0.008083529808016167,3.912023005428146,0.03162295457402341
Doug Burgum (ND-R),ndgov,12,5932,0.0040417649040080834,3.912023005428146,0.015811477287011703
Doug Burgum (ND-R),dakotans,9,5932,0.0030313236780060626,3.2188758248682006,0.009757454504484273
Doug Burgum (ND-R),dakota's,6,5932,0.0020208824520040417,3.2188758248682006,0.006504969669656181
Doug Burgum (ND-R),dakota’s,5,5932,0.001684068710003368,3.2188758248682006,0.005420808058046818
Doug Burgum (ND-R),nd’s,5,5932,0.001684068710003368,3.912023005428146,0.006588115536254877
Doug Burgum (ND-R),ndsmart,5,5932,0.001684068710003368,3.912023005428146,0.006588115536254877
Doug Burgum (ND-R),firstladynd,4,5932,0.0013472549680026945,3.912023005428146,0.005270492429003902
Doug Ducey (AZ-R),arizona,546,41810,0.025162449882483062,3.912023005428146,0.09843608281320648
Doug Ducey (AZ-R),dougducey,363,41810,0.0167288815152772,3.2188758248682006,0.053848192286610294
Doug Ducey (AZ-R),thearizonaway,284,41810,0.01308816074473478,3.912023005428146,0.05120118593214404
Doug Ducey (AZ-R),arizona’s,123,41810,0.005668463984515416,3.2188758248682006,0.018246081683892745
Doug Ducey (AZ-R),azdhs,110,41810,0.005069358034932485,3.912023005428146,0.0198314452554079
Doug Ducey (AZ-R),arizonans,102,41810,0.004700677450573759,3.912023005428146,0.01838915832774187
Doug Ducey (AZ-R),az,98,41810,0.004516337158394396,2.8134107167600364,0.012706311361928364
