speaker,bigram,n,total,tf,idf,tf_idf
Gina Raimondo,release governor,5,9279,0.0029036004645760743,3.912023005428146,0.011358951815993456
Gina Raimondo,alexander scott,4,9279,0.0023228803716608595,3.912023005428146,0.009087161452794763
Gina Raimondo,dr alexander,4,9279,0.0023228803716608595,3.912023005428146,0.009087161452794763
Gina Raimondo,governor dr,4,9279,0.0023228803716608595,3.912023005428146,0.009087161452794763
Gina Raimondo,rhode island’s,4,9279,0.0023228803716608595,3.912023005428146,0.009087161452794763
Greg Abbott,human trafficking,16,6425,0.00912721049629207,1.0216512475319812,0.009324825990023787
Greg Abbott,lone star,15,6425,0.008556759840273816,3.912023005428146,0.033474241347074836
Greg Abbott,txlege https,11,6425,0.006274957216200799,3.912023005428146,0.02454777698785488
Greg Abbott,econdev https,6,6425,0.0034227039361095267,3.2188758248682006,0.01101725895562419
Greg Abbott,heinous crime,6,6425,0.0034227039361095267,3.912023005428146,0.013389696538829935
Greg Abbott,sexual assault,6,6425,0.0034227039361095267,1.9661128563728327,0.006729422212342839
Greg Abbott,texas https,5,6425,0.002852253280091272,3.912023005428146,0.011158080449024946
Greg Abbott,texas music,4,6425,0.0022818026240730175,3.912023005428146,0.008926464359219956
Greg Abbott,assault survivors,3,6425,0.0017113519680547634,3.912023005428146,0.0066948482694149675
Greg Abbott,ecodevo https,3,6425,0.0017113519680547634,3.912023005428146,0.0066948482694149675
Gretchen Whitmer,covid ー,11,6994,0.007890961262553802,1.2729656758128876,0.010044922836400117
Gretchen Whitmer,changing rapidly,5,6994,0.003586800573888092,3.912023005428146,0.01403164636093309
Gretchen Whitmer,medical executive,5,6994,0.003586800573888092,3.912023005428146,0.01403164636093309
Gretchen Whitmer,t.co nirbexcyoy,5,6994,0.003586800573888092,3.912023005428146,0.01403164636093309
Gretchen Whitmer,dr joneigh,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Gretchen Whitmer,joneigh khaldun,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Gretchen Whitmer,khaldun mdhhs,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Gretchen Whitmer,mdhhs chief,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Gretchen Whitmer,michiganders safe,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Gretchen Whitmer,t.co dwunijqzup,4,6994,0.0028694404591104736,3.912023005428146,0.011225317088746474
Henry McMaster,south carolina,36,4683,0.037383177570093455,3.912023005428146,0.14624385067021106
Henry McMaster,south carolinians,10,4683,0.010384215991692628,3.912023005428146,0.04062329185283641
Henry McMaster,henry mcmaster,8,4683,0.008307372793354102,3.912023005428146,0.032498633482269126
Henry McMaster,executive budget,7,4683,0.007268951194184839,2.302585092994046,0.01673737866143128
Henry McMaster,governor henry,6,4683,0.006230529595015576,3.912023005428146,0.024373975111701845
Henry McMaster,media briefing,6,4683,0.006230529595015576,1.8325814637483102,0.01141795304516081
Henry McMaster,state's response,6,4683,0.006230529595015576,1.6094379124341003,0.01002765054476075
Henry McMaster,free market,5,4683,0.005192107995846314,3.912023005428146,0.020311645926418206
Henry McMaster,pm scetv,5,4683,0.005192107995846314,3.912023005428146,0.020311645926418206
Henry McMaster,budget calls,4,4683,0.004153686396677051,3.2188758248682006,0.013370200726347665
J. B. Pritzker,en casa,9,22020,0.0022652907123080794,2.5257286443082556,0.005721509639761968
